date,symbol,marketcapname,sector
02-05-2023,PFC,Largecap,Finance
02-05-2023,RECLTD,Largecap,Finance
03-05-2023,INDHOTEL,Largecap,Services
04-05-2023,CHOLAFIN,Largecap,Finance
04-05-2023,GICRE,Largecap,Services
04-05-2023,NIACL,Midcap,Services
04-05-2023,M&MFIN,Largecap,Finance
05-05-2023,ITI,Midcap,Telecom
05-05-2023,IEX,Midcap,Miscellaneous
05-05-2023,RBA,Midcap,Quick Service Restaurant
